"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"109" 8 3 0.8 4 0.9853 0.210453194208227 1
"110" 8 3 0.5 256 0.9854 0.210438327314925 1
"111" 8 3 0.4 64 0.9855 0.210092477934692 1
"112" 8 2 0.7 1 0.9842 0.209798699859286 1
"113" 8 3 0.5 128 0.9854 0.209662563541034 1
"114" 8 2 0.1 128 0.9868 0.209081018162257 2
"115" 8 3 0.1 8 0.9871 0.208849618467059 2
"116" 8 3 0.4 32 0.9855 0.208747520592989 1
"117" 7 3 0.2 1024 0.9876 0.208225323494104 2
"118" 8 3 0.5 16 0.9878 0.207648999215448 2
"119" 8 3 0.8 512 0.9854 0.20745432252553 1
"120" 8 1 0.1 128 0.9281 0.205610426128197 2
"121" 7 3 0.3 256 0.9877 0.205179284269078 2
"122" 8 2 0.1 32 0.9868 0.205014943210695 2
"123" 8 1 0.1 256 0.928 0.204906546238472 2
"124" 8 2 0.3 1024 0.9843 0.204734128476758 1
"125" 8 2 0.1 16 0.9867 0.20454718152357 2
"126" 8 1 0.1 1024 0.928 0.204113745259657 2
"127" 8 1 0.1 32 0.9278 0.203900550098217 2
"128" 8 1 0.1 64 0.928 0.203781439799468 2
"129" 8 1 0.1 512 0.9279 0.203337348915708 2
"130" 8 3 0.9 4 0.9878 0.20330425864717 2
"131" 8 3 0.8 256 0.9854 0.203270517421676 1
"132" 8 3 0.4 128 0.9855 0.202673375769237 1
"133" 8 3 0.5 10000 0.9855 0.202663990971978 1
"134" 8 3 0.9 64 0.9878 0.201446874591496 2
"135" 8 3 0.4 256 0.9878 0.200876085623861 2
"136" 8 1 0.1 16 0.9278 0.199813460882706 2
"137" 8 3 0.8 128 0.9855 0.199593419301015 1
"138" 8 3 0.5 1024 0.9854 0.199253844516385 1
"139" 8 2 0.7 0.5 0.9838 0.198991452593936 1
"140" 8 3 0.6 10000 0.9853 0.198803663191943 1
"141" 8 2 0.8 1 0.9844 0.198516699239975 1
"142" 8 3 0.7 4 0.9853 0.198246564519154 1
"143" 8 3 0.4 256 0.9855 0.197728905992401 1
"144" 8 1 0.1 8 0.9276 0.197585725217976 2
"145" 8 3 0.1 4 0.9869 0.196924639646354 2
"146" 8 3 0.9 512 0.9876 0.196649582069943 2
"147" 8 3 0.4 4 0.9877 0.195273226965203 2
"148" 7 3 0.1 256 0.9876 0.194800242939372 2
"149" 8 3 0.3 2 0.9829 0.194486508836366 1
"150" 8 2 0.3 16 0.9843 0.194032356769872 1
"151" 8 3 0.4 1024 0.9855 0.194013632193086 1
"152" 8 2 0.8 512 0.9843 0.193380657802399 1
"153" 7 3 0.1 512 0.9875 0.192619179589793 2
"154" 8 1 0.1 4 0.9273 0.192521310633157 2
"155" 8 2 0.3 4 0.9842 0.192150633388737 1
"156" 8 1 0.3 2 0.9282 0.191650298114169 2
"157" 8 2 0.3 2 0.9837 0.191480251101915 1
"158" 8 3 0.8 2 0.9877 0.191398123401533 2
"159" 8 3 0.6 4 0.9851 0.191162936923541 1
"160" 8 1 0.1 2 0.9272 0.191018338991126 2
"161" 8 3 0.3 2 0.9872 0.190461029440123 2
"162" 8 2 0.8 0.5 0.9839 0.189645276034681 1
"163" 8 1 0.3 4 0.9283 0.189421185665908 2
"164" 8 2 0.9 0.5 0.9841 0.189315867514816 1
"165" 8 1 0.3 1 0.9277 0.189311915991215 2
"166" 8 1 0.3 128 0.9284 0.189265018762056 2
"167" 8 3 0.9 2 0.9877 0.189177322762166 2
"168" 8 1 0.3 8 0.9284 0.188958467639712 2
"169" 8 1 0.3 512 0.9284 0.188956615077335 2
"170" 8 1 0.3 256 0.9284 0.188722893429136 2
"171" 8 1 0.2 1 0.9275 0.188614101479832 2
"172" 8 3 0.5 4 0.9851 0.188254095463477 1
"173" 8 1 0.3 1024 0.9284 0.188186202934829 2
"174" 7 3 0.2 512 0.9876 0.188084879332865 2
"175" 8 1 0.2 2 0.9279 0.187644366996883 2
"176" 8 1 0.3 0.5 0.9273 0.187597521550741 2
"177" 8 1 0.3 64 0.9284 0.187565134944502 2
"178" 8 3 0.3 8 0.9851 0.186754530778103 1
"179" 8 2 0.3 32 0.9844 0.186547861662325 1
"180" 8 1 0.2 1024 0.9284 0.186372275114894 2
"181" 8 1 0.2 16 0.9284 0.186297983893818 2
"182" 8 1 0.3 16 0.9284 0.18614792552944 2
"183" 8 1 0.2 128 0.9284 0.186054353573273 2
"184" 8 1 0.2 8 0.9283 0.185922829217277 2
"185" 8 1 0.2 32 0.9283 0.185870238247268 2
"186" 8 1 0.2 512 0.9284 0.18583935778578 2
"187" 8 1 0.3 32 0.9284 0.185838375817099 2
"188" 8 3 0.4 512 0.9855 0.185409902040868 1
"189" 8 1 0.4 0.5 0.9278 0.185385851422479 2
"190" 8 1 0.2 64 0.9284 0.185314497867805 2
"191" 8 1 0.2 256 0.9283 0.185146841988586 2
"192" 8 1 0.2 4 0.9282 0.184129504086505 2
"193" 7 3 0.1 1024 0.9875 0.183977451512373 2
"194" 8 2 0.3 8 0.9842 0.183454242185639 1
"195" 8 1 0.3 0.25 0.9268 0.182909521701895 2
"196" 7 3 0.3 64 0.9877 0.182818994915028 2
"197" 7 1 0.1 1024 0.9271 0.182328746434852 2
"198" 7 1 0.1 512 0.9273 0.182043410335003 2
"199" 7 1 0.1 256 0.9273 0.182010369317091 2
"200" 8 2 0.4 10000 0.9842 0.181873513100402 1
"201" 8 2 0.7 32 0.9844 0.181309936132632 1
"202" 7 1 0.1 128 0.9272 0.180979864247254 2
"203" 7 1 0.1 64 0.9273 0.18068802943974 2
"204" 7 3 0.3 1024 0.9877 0.180162634660738 2
"205" 8 2 0.7 2 0.9844 0.179122910989966 1
"206" 8 3 0.4 2 0.9874 0.17911311112962 2
"207" 8 1 0.2 0.5 0.9269 0.1789853200727 2
"208" 8 3 0.3 16 0.9854 0.178897428894588 1
"209" 7 3 0.5 1024 0.9853 0.178645594301301 1
"210" 8 1 0.4 0.25 0.9269 0.178157599358135 2
"211" 8 3 0.3 4 0.9845 0.177617163210138 1
"212" 8 1 0.5 0.25 0.9272 0.177340163104264 2
"213" 7 1 0.1 32 0.9271 0.176569797769076 2
"214" 8 3 0.5 8 0.9878 0.176504315314912 2
"215" 8 1 0.4 1 0.9282 0.175914363776229 2
"216" 7 3 0.2 128 0.9876 0.175891087487466 2
"217" 8 2 0.9 1 0.9869 0.175732057546758 2
"218" 7 1 0.1 16 0.9272 0.175113954091068 2
"219" 8 3 0.8 1 0.9827 0.175013396613638 1
"220" 8 3 0.9 0.5 0.9866 0.174726021787511 2
"221" 8 1 0.4 2 0.9283 0.174396724593111 2
"222" 8 1 0.4 4 0.9284 0.173670955519617 2
"223" 8 1 0.4 512 0.9284 0.173654743976805 2
"224" 8 2 0.3 1 0.9832 0.173536331145075 1
"225" 8 1 0.4 8 0.9284 0.173515276460083 2
"226" 8 1 0.4 1024 0.9284 0.173455691368246 2
"227" 7 3 0.2 256 0.9876 0.173127596878059 2
"228" 8 1 0.4 32 0.9284 0.173116683678506 2
"229" 8 1 0.4 16 0.9284 0.173092894124739 2
"230" 8 2 0.7 0.25 0.9814 0.173058926704139 1
"231" 8 3 0.9 1 0.9875 0.172990682635416 2
"232" 8 1 0.4 256 0.9284 0.172927813781068 2
"233" 8 2 0.8 8 0.9844 0.172843348207911 1
"234" 8 1 0.4 128 0.9284 0.172584346815035 2
"235" 8 1 0.4 64 0.9284 0.172581942744555 2
"236" 8 1 0.5 0.5 0.9276 0.172130689041113 2
"237" 8 2 0.7 64 0.9844 0.171295807300296 1
"238" 7 3 0.7 10000 0.9853 0.170718607425188 1
"239" 8 2 0.7 8 0.9844 0.1704220073445 1
"240" 8 3 0.3 512 0.9854 0.170133384280787 1
"241" 8 3 0.3 128 0.9854 0.169877710605052 1
"242" 7 3 0.3 128 0.9877 0.169212163733622 2
"243" 8 1 0.1 1 0.9266 0.168845818378539 2
"244" 8 3 0.9 64 0.9854 0.168074739938818 1
"245" 8 3 0.3 256 0.9854 0.167804834232746 1
"246" 7 3 0.1 128 0.9875 0.167597437892313 2
"247" 8 2 0.4 4 0.9843 0.166811343745924 1
"248" 8 3 0.9 1 0.9829 0.166581861651485 1
"249" 8 1 0.1 10000 0.9257 0.166555191626456 2
"250" 8 3 0.8 64 0.9854 0.166303315557871 1
"251" 8 2 0.6 0.25 0.98 0.165657364354673 1
"252" 8 3 0.3 1024 0.9854 0.165568083241027 1
"253" 7 3 0.5 32 0.9854 0.165399953018983 1
"254" 7 1 0.4 512 0.9274 0.165276478334687 2
"255" 8 2 0.4 16 0.9844 0.165196550321259 1
"256" 7 1 0.4 256 0.9274 0.165118749428436 2
"257" 7 3 0.2 64 0.9876 0.164884458648306 2
"258" 7 1 0.4 4 0.9273 0.164740394173204 2
"259" 8 3 0.3 32 0.9855 0.164575701979028 1
"260" 7 3 0.5 10000 0.985 0.164401715809075 1
"261" 7 1 0.4 128 0.9274 0.164205596799168 2
"262" 7 1 0.4 64 0.9274 0.164194197227979 2
"263" 7 1 0.4 1024 0.9274 0.164087620666659 2
"264" 4 2 0.3 10000 0.9859 0.164076147342956 2
"265" 8 3 0.3 64 0.9854 0.163828177554379 1
"266" 7 1 0.2 512 0.9273 0.163604349889524 2
"267" 7 1 0.2 128 0.9273 0.16357125957411 2
"268" 7 1 0.2 64 0.9273 0.163534390175774 2
"269" 7 1 0.4 32 0.9274 0.163467872382218 2
"270" 7 1 0.2 1024 0.9272 0.163370997502171 2
"271" 8 1 0.5 1 0.928 0.163076252030535 2
"272" 7 1 0.2 32 0.9273 0.163049495112375 2
"273" 7 1 0.2 256 0.9273 0.162838906730272 2
"274" 7 1 0.4 2 0.9271 0.162787857211346 2
"275" 7 1 0.4 8 0.9274 0.16220993537293 2
"276" 7 1 0.4 16 0.9274 0.162138255127598 2
"277" 8 3 0.7 2 0.9843 0.16152807185281 1
"278" 8 3 0.4 2 0.9838 0.161518406646121 1
"279" 7 3 0.5 64 0.9854 0.161277961977885 1
"280" 7 3 0.5 512 0.9854 0.16121142076734 1
"281" 8 3 0.8 1024 0.9854 0.16119950577305 1
"282" 7 1 0.2 16 0.9272 0.161052922431221 2
"283" 7 3 0.3 32 0.9877 0.159923206666408 2
"284" 7 1 0.3 128 0.9273 0.159843017481589 2
"285" 7 1 0.3 1024 0.9273 0.159361368184223 2
"286" 8 1 0.6 0.25 0.9272 0.159267999741224 2
"287" 8 3 0.9 8 0.9855 0.159221957000783 1
"288" 7 2 0.9 1024 0.9864 0.159191319404121 2
"289" 7 3 0.5 128 0.9854 0.159106201908535 1
"290" 7 1 0.3 256 0.9273 0.158895822322622 2
"291" 7 1 0.3 512 0.9273 0.158445772615436 2
"292" 8 2 0.9 0.25 0.9864 0.158352982202122 2
"293" 7 1 0.3 32 0.9273 0.158292758417507 2
"294" 8 2 0.4 128 0.9843 0.158170028830759 1
"295" 7 1 0.3 64 0.9273 0.158026169943095 2
"296" 7 1 0.2 8 0.9271 0.157755312313045 2
"297" 8 3 0.9 512 0.9853 0.15756179056608 1
"298" 8 2 0.4 64 0.9844 0.15734679774708 1
"299" 4 2 0.8 10000 0.9469 0.157084376092427 2
"300" 8 2 0.4 8 0.9844 0.15701720119864 1
"301" 7 1 0.3 16 0.9272 0.157001090376204 2
"302" 8 2 0.9 0.5 0.9868 0.156875097697304 2
"303" 7 1 0.1 8 0.9268 0.156149250064438 2
"304" 7 1 0.5 1 0.9269 0.156145094770742 2
"305" 8 2 0.6 0.5 0.9837 0.156013233550299 1
"306" 8 3 0.9 1024 0.9853 0.155956038066176 1
"307" 8 1 0.2 0.25 0.9264 0.155595420324644 2
"308" 6 1 0.5 8 0.9264 0.155303325277191 2
"309" 7 1 0.2 4 0.9271 0.155090819473873 2
"310" 8 2 0.5 0.25 0.9752 0.154738457817618 1
"311" 7 1 0.5 0.5 0.9265 0.154619545617756 2
"312" 6 1 0.8 0.25 0.9258 0.154156930513136 2
"313" 7 1 0.5 2 0.9272 0.153860557058204 2
"314" 7 1 0.5 4 0.9273 0.153826593200934 2
"315" 7 3 0.5 256 0.9854 0.153790636387164 1
"316" 6 1 0.5 4 0.9263 0.153740149313671 2
"317" 8 2 0.1 8 0.9867 0.15372390240729 2
"318" 7 1 0.3 8 0.9271 0.153651466420262 2
"319" 8 2 0.3 0.5 0.979 0.153330962652755 1
"320" 8 2 0.2 8 0.9869 0.153320519888533 2
"321" 8 1 0.5 16 0.9285 0.153183838828542 2
"322" 8 1 0.5 8 0.9285 0.152602321861709 2
"323" 6 1 0.5 16 0.9265 0.151635503399702 2
"324" 8 2 0.3 2 0.9869 0.151555925235517 2
"325" 8 2 0.2 10000 0.9848 0.15154785371027 2
"326" 8 1 0.5 32 0.9285 0.151055406004093 2
"327" 8 1 0.5 256 0.9285 0.150882693981359 2
"328" 8 1 0.5 128 0.9284 0.150769203601493 2
"329" 7 1 0.4 1 0.9266 0.150756626469129 2
"330" 8 1 0.5 512 0.9285 0.150499584109803 2
"331" 7 1 0.3 4 0.927 0.14998175570373 2
"332" 6 1 0.5 32 0.9265 0.149823956453711 2
"333" 6 1 0.5 1024 0.9264 0.1496692451488 2
"334" 8 2 0.7 512 0.9844 0.149549446274715 1
"335" 6 1 0.5 64 0.9264 0.149399282957205 2
"336" 8 1 0.5 2 0.9284 0.149279578657964 2
"337" 6 1 0.5 128 0.9265 0.148998693705139 2
"338" 6 1 0.8 0.5 0.926 0.148960458562094 2
"339" 5 1 0.6 256 0.926 0.148943509692515 2
"340" 6 1 0.5 512 0.9264 0.14887726284334 2
"341" 6 1 0.5 256 0.9265 0.148680104147997 2
"342" 7 1 0.5 0.25 0.9262 0.148666144032225 2
"343" 5 1 0.6 1024 0.926 0.148641034036989 2
"344" 5 1 0.6 128 0.926 0.148426266325754 2
"345" 8 1 0.5 1024 0.9285 0.148394288298268 2
"346" 7 1 0.5 8 0.9275 0.148123349478982 2
"347" 8 1 0.7 0.25 0.9274 0.14799931353681 2
"348" 5 1 0.6 64 0.926 0.147876459201703 2
"349" 8 1 0.5 64 0.9284 0.147725693109431 2
"350" 7 3 0.2 32 0.9876 0.147604330098031 2
"351" 5 1 0.6 1 0.9259 0.147477229730085 2
"352" 5 1 0.6 512 0.926 0.147468414828585 2
"353" 8 2 0.9 2 0.9869 0.147398068427981 2
"354" 8 1 0.5 4 0.9285 0.147394255886336 2
"355" 8 2 0.4 512 0.9842 0.147157968547888 1
"356" 6 1 0.6 1 0.9261 0.146772118615235 2
