"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"109" 3 3 0.4 32 0.9768 0.589022308518313 1
"110" 8 2 0.4 128 0.9752 0.588927836362092 1
"111" 3 3 0.4 64 0.9768 0.588884032721525 1
"112" 3 1 0.4 64 0.9221 0.58880948338865 1
"113" 7 2 0.5 512 0.9752 0.58866443606119 1
"114" 8 3 0.3 512 0.9774 0.588628772358457 1
"115" 4 1 0.4 64 0.9219 0.588539820703147 1
"116" 3 3 0.9 2 0.9721 0.588341294251778 1
"117" 6 1 0.1 32 0.9181 0.588314949711615 1
"118" 8 3 0.8 1024 0.9768 0.588163964362534 1
"119" 3 2 0.9 8 0.974 0.588100955284597 1
"120" 7 3 0.4 10000 0.9774 0.587912843500627 1
"121" 8 2 0.7 128 0.9753 0.587885553295766 1
"122" 3 1 0.4 128 0.9222 0.587868139209052 1
"123" 7 3 0.3 256 0.9774 0.587795652441435 1
"124" 7 2 0.4 1024 0.9752 0.587784575744978 1
"125" 3 2 0.9 4 0.9732 0.587761708529703 1
"126" 7 3 0.3 1024 0.9774 0.58763853583227 1
"127" 6 3 0.4 10000 0.9775 0.587616068806408 1
"128" 7 2 0.5 512 0.9775 0.58753190877446 2
"129" 7 2 0.9 10000 0.9773 0.587294127903018 2
"130" 6 3 0.5 64 0.9776 0.58724324853938 1
"131" 3 1 0.1 10000 0.9195 0.587151069962697 1
"132" 7 2 0.8 512 0.9753 0.587143278415935 1
"133" 3 2 0.9 2 0.9714 0.587128782887355 1
"134" 7 2 0.8 10000 0.9744 0.587035401748682 2
"135" 8 1 0.1 512 0.9172 0.587003863618595 1
"136" 8 2 0.8 512 0.9751 0.587002796922662 1
"137" 8 2 0.9 64 0.9751 0.586967368639915 1
"138" 6 1 0.1 8 0.9174 0.586960673405624 1
"139" 7 3 0.3 512 0.9774 0.586952806372811 1
"140" 7 2 0.6 10000 0.9753 0.586936665612217 1
"141" 8 2 0.7 512 0.9753 0.586933664141808 1
"142" 8 2 0.4 64 0.9752 0.586830520725711 1
"143" 8 2 0.6 16 0.9749 0.586709883054112 1
"144" 8 2 0.7 32 0.975 0.586671001069705 1
"145" 3 3 0.3 256 0.9768 0.586667653652258 1
"146" 3 3 0.3 512 0.9768 0.586651421922428 1
"147" 8 2 0.7 256 0.9752 0.586560752510016 1
"148" 8 3 0.3 1024 0.9774 0.586452126607746 1
"149" 6 3 0.3 256 0.9775 0.586332529051105 1
"150" 6 3 0.8 1024 0.9772 0.586291385956031 1
"151" 8 2 0.9 128 0.9751 0.586060248084308 1
"152" 6 3 0.3 128 0.9775 0.586041073975796 1
"153" 3 1 0.4 10000 0.922 0.586033522385112 1
"154" 7 2 0.8 1024 0.9753 0.585959437329994 1
"155" 8 3 0.8 64 0.977 0.585951563046455 1
"156" 8 2 0.7 1024 0.9752 0.585948615886754 1
"157" 6 1 0.1 64 0.9184 0.585887846832483 1
"158" 8 3 0.7 4 0.9754 0.585858945817989 1
"159" 6 3 0.4 128 0.9776 0.585849647340193 1
"160" 3 3 0.2 256 0.9764 0.585843561013481 1
"161" 3 3 0.2 64 0.9763 0.585832275614332 1
"162" 6 3 0.7 1024 0.977 0.585778727623625 1
"163" 8 1 0.2 4 0.918 0.585767037802374 1
"164" 8 2 0.9 512 0.9751 0.585748613857278 1
"165" 7 2 0.5 256 0.9775 0.585696651643441 2
"166" 3 3 0.2 10000 0.9761 0.585614682125803 1
"167" 3 3 0.9 4 0.9752 0.585531378456825 1
